SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -90
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -94
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:21, RSSI: -83
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -83
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:a1, RSSI: -79
SSID: eduroam, BSSID: 1c:28:af:62:04:a0, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -82
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -54
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -54
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -54
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:d2, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:d0, RSSI: -91
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:d1, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:d0:a0, RSSI: -84
SSID: TUD-facility, BSSID: 1c:28:af:65:d0:a2, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:81:00, RSSI: -75
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -53
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:01, RSSI: -74
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -53
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -53
SSID: tudelft-dastud, BSSID: 1c:28:af:65:c2:41, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:c2:42, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:65:c2:40, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f1:f3:b2, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:f3:b1, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -67
SSID: eduroam, BSSID: d0:4d:c6:f2:f1:10, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:42, RSSI: -67
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:81, RSSI: -87
SSID: eduroam, BSSID: d0:4d:c6:f1:f3:b0, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:41, RSSI: -67
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:11, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f1:12, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:43:60, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:33:c0, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:61, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:c1, RSSI: -87
