SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -72
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -72
SSID: eduroam, BSSID: d0:4d:c6:f2:74:e0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:74:e2, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:74:e1, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:e6:f0, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -80
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -81
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -49
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -50
SSID: eduroam, BSSID: d0:4d:c6:f2:34:e0, RSSI: -81
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -50
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:e2, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:e1, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -58
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -58
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -58
SSID: SmartLife-5DFF, BSSID: 86:cc:a8:b8:5d:ff, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f1:02, RSSI: -76
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:01, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -79
